channel,spend,revenue,clicks,sessions,conversions,roas,cac,cpc,cvr,revenue_per_session,efficiency_gap,cluster,cluster_label
Affiliate,65387.37,74448.39,65730,59207,1493,1.138574467821538,43.79596115204287,0.9947873117298038,0.02521661290050163,1.257425473339301,-5.437908006759149,1,🟡 Mid Efficiency
Email,19826.97,719464.86,260006,249425,16117,36.287181551190116,1.230189861636781,0.07625581717344984,0.0646166182219104,2.8844937756840734,49.29733258470165,0,🟢 High Efficiency
Google Ads,204882.91,342228.53,239875,223693,6951,1.6703615250291008,29.475314343259964,0.8541236477331944,0.031073837804490977,1.5299027238223817,-9.073887375435302,1,🟡 Mid Efficiency
Meta Ads,260863.97,121292.36,200731,184414,2724,0.46496401936994214,95.76504038179148,1.2995699219353263,0.014771112822236924,0.6577177437721649,-34.54069891903529,2,🔴 Low Efficiency
Organic Search,50000.0,110459.7,59292,56650,2206,2.209194,22.665457842248415,0.8432840855427376,0.038940864960282436,1.9498623124448367,-0.2448382834719126,1,🟡 Mid Efficiency
